MLR_No,ML_Lic_No,Period,Name_Eng,Name_Chi,Expiry_Date,Remarks
5597,1633/2019,As at 29 February 2020,Phoenix Financing Limited,鳳凰融資有限公司,12-Dec-20,
5594,1632/2019,As at 29 February 2020,Star Rich Finance Limited,駿星財務有限公司,02-Jan-21,
5586,1631/2019,As at 29 February 2020,Ji Xiang Credit Limited ,吉祥信貸有限公司,12-Dec-20,
4446,1630/2019,As at 29 February 2020,Money Station Limited,貸款站有限公司,12-Dec-20,
5194,1629/2019,As at 29 February 2020,Mayven Limited,,04-Oct-20,
4916,1628/2019,As at 29 February 2020,Eastern Wind Credit Limited,東風信貸有限公司,16-Nov-20,
4889,1627/2019,As at 29 February 2020,SPDB International Finance Limited,浦銀國際財務有限公司,10-Oct-20,
4570,1626/2019,As at 29 February 2020,Good Sino Finance Limited,港俊理財有限公司,30-Aug-20,
4417,1625/2019,As at 29 February 2020,Kongwell (Hong Kong) Mortgage Limited,港龍(香港)按揭有限公司,04-Oct-20,
4027,1624/2019,As at 29 February 2020,CNI Global Finance Limited,中國北方環球融資有限公司,07-Sep-20,
